title,authors,average_rating
The Secret Garden,Frances Hodgson Burnett/Sandra M. Gilbert,4.13
The Secret Garden,Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,4.33
The Secret Garden,Frances Hodgson Burnett/Alison Lurie,4.13
A Little Princess,Frances Hodgson Burnett/Nancy Bond,4.20
Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,3.80
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler/Frances Hodgson Burnett/Prudence See,4.30
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,4.32
Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,4.32
Black Rednecks and White Liberals,Thomas Sowell,4.38
Applied Economics: Thinking Beyond Stage One,Thomas Sowell,4.14
Knowledge And Decisions,Thomas Sowell,4.39
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,4.31
Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,3.91
Alcoholics Anonymous,Alcoholics Anonymous,4.45
Alcoholics Anonymous,Alcoholics Anonymous,4.45
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,4.36
The Natural Way to Draw,Kimon Nicolaides/Mamie Harmon,3.90
Natural Health  Natural Medicine,Andrew Weil,4.11
The Fixer,Bernard Malamud/Jonathan Safran Foer,3.96
The Complete Stories,Bernard Malamud/Robert Giroux,4.22
The Assistant,Bernard Malamud/Jonathan Rosen,3.89
Conversations with Bernard Malamud (Literary Conversations),Lawrence M. Lasher,4.00
The Tenants,Bernard Malamud/Aleksandar Hemon,3.65
Enchanted April: Acting Edition,Matthew Barber/Elizabeth von Arnim,3.61
April  May und June,Elizabeth von Arnim,3.88
A Room with a View,E.M. Forster,3.91
A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,4.10
E.M. Forster: Critical Guidebook,Lionel Trilling/E.M. Forster,3.51
The Longest Journey,E.M. Forster/Gilbert Adair/Elizabeth Heine,3.48
Howards End,E.M. Forster,3.96
Maurice,E.M. Forster,4.03
E. M. Forster: A Life,P.N. Furbank,4.14
Howards End,E.M. Forster,3.96
The Sixteen Pleasures,Robert Hellenga,3.59
Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,3.97
The Rescue (Kidnapped  #3),Gordon Korman,4.11
Hunting the Hunter (On the Run  #6),Gordon Korman,4.21
Public Enemies (On The Run  #5),Gordon Korman,4.19
Runaway Bride,Deborah  Gordon,4.25
The Bridge over the Drina,Ivo Andrić/William H. McNeill,4.33
Drina Dances in Paris,Jean Estoril,4.16
Drina Ballerina,Jean Estoril,4.16
Le Pont sur la Drina,Ivo Andrić/Pascale Delpech,4.33
Drina Dances in Italy,Jean Estoril,4.08
Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,4.26
Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,4.09
Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,3.00
The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Plato/Reginald E. Allen,4.17
Gorgias/Timaeus,Plato/Benjamin Jowett,3.74
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,4.57
Aristophanes I: Clouds/Wasps/Birds,Aristophanes/Peter Meineck/Ian C. Storey,3.77
The Trojan Women,Euripides/Gilbert Murray,3.89
Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,4.29
Moloka'i (Moloka'i #1),Alan Brennert,4.17
Teaching with the Brain in Mind,Eric Jensen,4.11
Introducing Mind and Brain (Introducing...),Angus Gellatly/Oscar Zárate/Richard Appignanesi,3.54
Eva Luna,Isabel Allende/Margaret Sayers Peden,3.97
The Stories of Eva Luna,Isabel Allende,3.97
Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Isabel Allende/Richard D. Woods/Kenneth M. Taggart,3.97
El bosque de los pigmeos,Isabel Allende,3.77
Inés of My Soul,Isabel Allende/Margaret Sayers Peden,3.93
La casa de los espíritus,Isabel Allende,4.23
El plan infinito,Isabel Allende,3.72
El reino del dragón de oro,Isabel Allende,3.84
City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,3.71
Self,Yann Martel,3.43
Die Brücke über die Drina,Ivo Andrić/Ernst E. Jonas,4.33
Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,4.02
The Story of Salt,Mark Kurlansky/S.D. Schindler,4.08
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Mark Kurlansky/Dalai Lama XIV,4.00
Boogaloo on 2nd Avenue,Mark Kurlansky,3.17
Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,3.91
1968: The Year That Rocked the World,Mark Kurlansky,3.78
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3.87
The Basque History of the World: The Story of a Nation,Mark Kurlansky,3.85
The Cod's Tale,Mark Kurlansky/S.D. Schindler,3.91
Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0.00
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,4.47
Angle of Repose,Wallace Stegner/Jackson J. Benson,4.27
Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,4.25
Girlfriend in a Coma,Douglas Coupland,3.62
Corelli's Mandolin,Louis de Bernières,3.98
Kiffe Kiffe Tomorrow,Faïza Guène/Sarah    Adams,3.40
Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,3.72
The Senator and the Socialite: The True Story of America's First Black Dynasty,Lawrence Otis Graham,3.95
Temptations,Otis Williams/Patricia Romanowski,4.19
The Thorn Birds,Colleen McCullough,4.23
Caesar (Masters of Rome  #5),Colleen McCullough,4.37
Caesar's Women (Masters of Rome  #4),Colleen McCullough,4.25
On  Off (Carmine Delmonico  #1),Colleen McCullough,3.52
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Colleen McCullough,3.67
Morgan's Run,Colleen McCullough,3.95
The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Colleen McCullough,4.29
The First Man in Rome (Masters of Rome  #1),Colleen McCullough,4.11
The Grass Crown (Masters of Rome  #2),Colleen McCullough,4.30
Tim,Colleen McCullough,3.81
O'Brien's the Things They Carried,Jill Colella/CliffsNotes,3.69
The Five People You Meet in Heaven,Mitch Albom,3.93
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88
The Curious Incident of the Dog In the Night-time,Mark Haddon,3.88
The Curious Incident of the Dog in the Night-time,Mark Haddon,3.88
Northern Lights,Tim O'Brien,3.29
If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,3.95
Going After Cacciato,Tim O'Brien,3.91
In the Lake of the Woods,Tim O'Brien,3.78
The Nuclear Age,Tim O'Brien,3.45
The Rescue,Nicholas Sparks,4.11
A Bend in the Road,Nicholas Sparks,4.03
True Believer (Jeremy Marsh & Lexie Darnell  #1),Nicholas Sparks,3.80
Three Weeks With My Brother,Nicholas Sparks/Micah Sparks,4.03
The Wedding (The Notebook  #2),Nicholas Sparks,3.99
El Guardián,Nicholas Sparks/Ramón González Férriz,4.15
Nights in Rodanthe,Nicholas Sparks,3.84
Message in a Bottle,Nicholas Sparks,3.96
A Walk to Remember,Nicholas Sparks,4.17
Icy Sparks,Gwyn Hyman Rubio,3.70
Message in a Bottle,Nicholas Sparks,3.96
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Lori Avocato/Dana Cameron/Mary Dahiem/Suzanne Macpherson/Cait London/Kerrelyn Sparks/Mary Daheim,3.98
Special Topics in Calamity Physics,Marisha Pessl,3.71
The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,Lois Beckwith,4.03
On Truth,Harry G. Frankfurt/Baruch Spinoza,3.52
Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,4.15
Sharp Edges,Jayne Ann Krentz,3.86
Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Sarah Ban Breathnach,4.08
The Sly Spy (Olivia Sharp  Agent for Secrets #3),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,3.85
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,3.77
The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,3.54
The Spy Who Barked (Adam Sharp #1),George E. Stanley,3.43
Kare First Love  Vol. 9 (Kare First Love  #9),Kaho Miyasaka,4.06
The World's First Love: Mary  Mother of God,Fulton J. Sheen,4.59
Kare First Love  Vol. 10 (Kare First Love  #10),Kaho Miyasaka,4.09
The Tutor's First Love,George MacDonald/Michael R. Phillips,4.08
First Love,Ivan Turgenev/Constance Garnett,3.78
Love @ First Site,Jane Moore,3.41
First Love  Second Chance,Amanda Clark,3.73
The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,3.50
The Modern Prince and Other Writings,Antonio Gramsci,3.89
Emily of New Moon (Emily  #1),L.M. Montgomery,4.10
The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,L.M. Montgomery/Mary Henley Rubio/Elizabeth Hillman Waterston,4.24
Against the Odds: Tales of Achievement,L.M. Montgomery/Rea Wilmshurst,3.83
Anne of Avonlea,L.M. Montgomery/Susan O'Malley,4.23
A Tangled Web,L.M. Montgomery,3.88
The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43
Pat of Silver Bush (Pat  #1),L.M. Montgomery,3.90
Sherlock Holmes: The Complete Novels and Stories  Volume I,Arthur Conan Doyle,4.47
The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64
The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,4.53
The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,E.J. Wagner,4.22
Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles,3.96
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,4.26
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,4.00
The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,4.18
The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33
The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),NOT A BOOK,3.50
Personal Finance For Dummies,Eric Tyson,3.77
Personal Finance for Dummies,Eric Tyson/Rich Tennant,3.77
Catching Alice,Clare Naylor,3.38
The Dream Giver,Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp,4.26
The Giver (The Giver  #1),Lois Lowry,4.13
The Wish Giver: Three Tales of Coven Tree,Bill Brittain/Andrew Glass,3.83
Indian Givers: How the Indians of the Americas Transformed the World,Jack Weatherford,4.11
The Last Life,Claire Messud,3.56
The Hunters,Claire Messud,3.42
When the World Was Steady,Claire Messud,3.17
The Sea,John Banville,3.51
The Sea,John Banville,3.51
The Book of Evidence (The Freddie Montgomery Trilogy #1),John Banville,3.71
Athena (The Freddie Montgomery Trilogy #3),John Banville,3.66
Doctor Copernicus  (The Revolutions Trilogy #1),John Banville,3.65
Shroud (The Cleave Trilogy #2),John Banville,3.66
Ghosts,John Banville,3.61
On Beauty,Zadie Smith,3.73
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79
The Black Book of Hollywood Beauty Secrets,Kym Douglas/Cindy Pearlman,3.37
Black Beauty,Anna Sewell,3.96
Truth and Beauty,Ann Patchett,3.94
The Life of Graham Greene  Vol. 1: 1904-1939,Norman Sherry,4.11
Complete Short Stories,Graham Greene/Pico Iyer,4.17
The Power and the Glory,Graham Greene/John Updike,4.00
The Heart of the Matter,Graham Greene,3.99
Orient Express,Graham Greene/Christopher Hitchens,3.46
Journey Without Maps,Graham Greene/Paul Theroux,3.60
The Quiet American,Graham Greene/Robert  Stone,3.97
Collected Short Stories,Graham Greene,3.98
The Third Man & The Fallen Idol,Graham Greene,3.77
The Tenth Man,Graham Greene,3.73
The Autograph Man,Zadie Smith,3.16
White Teeth,Zadie Smith,3.77
Stranger than Fiction,Chuck Palahniuk,3.57
Great Short Works of Herman Melville,Herman Melville/Warner Berthoff,4.04
Selected Poems of Herman Melville,Herman Melville/Robert Penn Warren,3.77
Redburn / White-Jacket / Moby-Dick,Herman Melville/G. Thomas Tanselle,4.20
Pierre / Israel Potter / The Piazza Tales / The Confidence-Man / Uncollected Prose / Billy Budd,Herman Melville/Harrison Hayford,4.18
Redburn,Herman Melville/Harold Beaver,3.62
Typee / Omoo / Mardi,Herman Melville/G. Thomas Tanselle,3.55
Harriet Spies Again (Harriet the Spy Adventures  #1),Helen Ericson,3.84
Harriet the Spy  Double Agent (Harriet the Spy Adventures),Maya Gold,3.80
Moonraker (James Bond  #3),Ian Fleming,3.74
Moonraker's Bride,Madeleine Brent,4.31
Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,Ian Fleming,3.98
Casino Royale (James Bond  #1),Ian Fleming,3.73
Goldfinger (James Bond  #7),Ian Fleming,3.80
On Her Majesty's Secret Service (James Bond  #11),Ian Fleming,3.96
Octopussy & the Living Daylights (James Bond  #14),Ian Fleming,3.55
Book of Sketches,Jack Kerouac/George Condo,3.80
The Dharma Bums,Jack Kerouac,3.92
Book of Haikus,Jack Kerouac,3.91
The Subterraneans,Jack Kerouac,3.68
Ballet Shoes,Noel Streatfeild,4.07
Theater Shoes (Shoes  #4),Noel Streatfeild/Diane Goode,4.02
Movie Shoes (Shoes  #6),Noel Streatfeild,4.00
Party Shoes (Shoes  #5),Noel Streatfeild,3.64
Thursday's Child (Margaret Thursday  #1),Noel Streatfeild,3.98
Miss Happiness and Miss Flower,Rumer Godden/Gary Blythe,4.27
The River,Rumer Godden,3.95
The Dolls' House,Rumer Godden/Christian Birmingham,4.01
China Court: The Hours of a Country House,Rumer Godden,3.97
Rumer Godden,Anne Chisholm,3.82
The Corrections,Jonathan Franzen,3.79
Creative Correction: Extraordinary Ideas For Everyday Discipline,Lisa Whelchel/Stormie Omartian,3.93
Original Sin (Adam Dalgliesh #9),P.D. James,3.91
Original Sin: Illuminating the Riddle,Henri Blocher,3.68
An Original Sin,Nina Bangs,3.75
Aliens: Original Sin,Michael Jan Friedman,3.71
Death in Holy Orders (Adam Dalgliesh  #11),P.D. James/Christa Seibicke,3.92
The Lighthouse (Adam Dalgliesh #13),P.D. James,3.81
Unnatural Causes (Adam Dalgliesh #3),P.D. James,3.94
Death of an Expert Witness (Adam Dalgliesh #6),P.D. James,3.99
A Mind To Murder (Adam Dalgliesh  #2),P.D. James,3.82
A Taste for Death (Adam Dalgliesh  #7),P.D. James,4.02
Time To Be In Earnest: A Fragment Of Autobiography,P.D. James,3.93
Cover Her Face (Adam Dalgliesh #1),P.D. James,3.93
The Black Tower (Adam Dalgliesh #5),P.D. James,4.00
Innocent Blood,P.D. James,3.68
Don Quixote,Miguel de Cervantes Saavedra/Edith Grossman/Harold Bloom,3.87
Don Quixote,Miguel de Cervantes Saavedra/John Rutherford/Roberto González Echevarría,3.87
Don Quixote,Miguel de Cervantes Saavedra/Walter Starkie,3.87
Don Quixote,Miguel de Cervantes Saavedra/Tobias Smollett/Carlos Fuentes,3.87
Lectures on Don Quixote,Vladimir Nabokov/Fredson Bowers/Guy Davenport/Miguel de Cervantes Saavedra/Samuel Putnam,3.87
Cliffs Notes on Cervantes' Don Quixote,Marianne Sturman,3.61
Desert Heat (Joanna Brady  #1),J.A. Jance,4.00
Kentucky Heat,Fern Michaels,4.19
Heat Wave: A Social Autopsy of Disaster in Chicago,Eric Klinenberg,3.86
Texas Heat (Texas  #2),Fern Michaels,4.18
Primal Heat (Includes: Breeds  #8.5; Devlin Dynasty  #1; Moon Lust  #1),Lora Leigh/Sherri L. King/Lorie O'Clare/Jaci Burton,4.13
Heat and Dust,Ruth Prawer Jhabvala,3.55
Holy Cow: An Indian Adventure,Sarah Macdonald,3.53
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Joel Salatin/Michael Pollan,4.01
The History of Love,Nicole Krauss,3.92
A Brief History of Time,Stephen Hawking,4.17
A Short History of Nearly Everything,Bill Bryson,4.21
The Politically Incorrect Guide to American History,Thomas E. Woods Jr.,4.03
A History of the World in 6 Glasses,Tom Standage,3.76
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87
The Sun Also Rises,Ernest Hemingway/William Hurt,3.82
The Bon Appetit Cookbook,Barbara Fairchild,4.07
The Barefoot Contessa Cookbook,Ina Garten/Melanie Acevedo,4.15
Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain,Diane Johnson,3.51
Sylvia,Leonard Michaels/Diane Johnson,3.86
The Life Of Dashiell Hammett,Diane Johnson,3.73
Divorcio a la Francesa: Le Divorce,Diane Johnson/Carlos Milla Soler/Roberto Fernandez Sastre,2.88
London is the Best City in America,Laura Dave,3.45
Hyperion (Los Cantos de Hyperion  #1),Dan Simmons/Carlos Alberto Gardini,4.24
The Fall of Hyperion (Hyperion Cantos  #2),Dan Simmons,4.20
Supreme Power: Hyperion,J. Michael Straczynski/Dan Jurgens,3.45
Die Hyperion-Gesänge,Dan Simmons/Joachim Körber,4.42
La Chute d'Hypérion II,Dan Simmons/Guy Abadia,4.20
Endymion,Dan Simmons/Guy Abadia,4.17
Olympos (Ilium  #2),Dan Simmons,3.94
Ilium (Ilium  #1),Dan Simmons,4.03
The Terror,Dan Simmons,4.07
Worlds Enough & Time: Five Tales of Speculative Fiction,Dan Simmons,3.75
Hard Freeze (Joe Kurtz  #2),Dan Simmons,3.84
Endymion (Hyperion Cantos  #3),Dan Simmons,4.17
A Winter Haunting (Seasons of Horror  #2),Dan Simmons,3.60
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18
The Amazing Adventures of the Escapist: Volume 1,Michael Chabon/Glen David Gold/Bill Sienkiewicz/Howard Chaykin/Gene Colan/Steve Lieber/Eric Wight/Kevin  McCarthy,3.46
The Great House of God,Max Lucado,4.25
The Valkyries,Paulo Coelho/Alan R. Clarke,3.31
The Devil and Miss Prym (On the Seventh Day  #3),Paulo Coelho/Amanda Hopkinson/Nick Caistor,3.61
Nine Stories,J.D. Salinger,4.19
The Sun Rises: and Other Questions About Time and Seasons,Brenda Walpole,3.94
American Psycho,Bret Easton Ellis,3.82
Lunar Park,Bret Easton Ellis,3.70
The Burden of Proof (Kindle County Legal Thriller #2),Scott Turow,4.06
Godless,Pete Hautman,3.60
That Godless Court?: Supreme Court Decisions on Church-State Relationships,Ronald B. Flowers,3.59
Soul Mates: Honouring the Mysteries of Love and Relationship,Thomas  Moore,3.99
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Elizabeth Clare Prophet,3.79
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,Arielle Ford/Deepak Chopra,4.08
Man's Search for Meaning,Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch,4.36
Man's Search for Meaning,Viktor E. Frankl/Gordon W. Allport/Ilse Lasch,4.36
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.10
Search Engine Optimization for Dummies,Peter Kent,3.79
The Pragmatic Programmer: From Journeyman to Master,Andy Hunt/Dave Thomas,4.31
Behind Closed Doors: Secrets of Great Management,Johanna Rothman/Esther Derby,3.96
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93
Blink 182,Anne Hoppus,4.42
I Blink: And Other Questions About My Body,Brigid Avison,3.92
The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,3.90
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,3.83
Built to Last: Successful Habits of Visionary Companies,James C. Collins/Jerry I. Porras,3.99
I Like You: Hospitality Under the Influence,Amy Sedaris,3.88
Children Playing Before a Statue of Hercules,David Sedaris/Richard Yates/Dorothy Parker/Joyce Carol Oates/Lorrie Moore/Flannery O'Connor/Amy Hempel/Akhil   Sharma/Tim Johnston/Tobias Wolff/Sarah Vowell/Charles Baxter/Jhumpa Lahiri/Katherine Mansfield/Alice Munro/Jean Thompson/Frank Gannon/Patricia Highsmith/Jincy Willett,3.68
Bringing Down The House,Ben Mezrich,3.89
Read for Your Life: 11 Ways to Better Yourself Through Books,Pat Williams/Peggy Matthews Rose,3.70
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith/Phil   Jackson,3.91
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,4.16
The Cold Six Thousand (Underworld USA #2),James Ellroy,4.01
White Teeth,Zadie Smith,3.77
White Teeth,Zadie Smith,3.77
White Teeth,Zadie Smith,3.77
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Hans Blumenberg,3.93
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,2.98
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89
The Illuminati,Larry Burkett,3.71
The Illuminati Papers,Robert Anton Wilson,3.83
The Da Vinci Code,Dan Brown,3.84
The Da Vinci Code (Robert Langdon  #2),Dan Brown/Paul Michael,3.84
El código Da Vinci (Robert Langdon  #2),Dan Brown/Juanjo Estrella,3.84
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Bart D. Ehrman,3.64
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56
Housekeeping vs. the Dirt,Nick Hornby/Sarah Vowell/Jess Walter/Jennie Erdal/Joshua Ferris,3.88
The Polysyllabic Spree,Nick Hornby,3.73
Songbook,Nick Hornby,3.56
My Favorite Year: A Collection of Football Writing,Nick Hornby/D.J. Taylor/Huw Richards/Chris Pierson/Roddy Doyle/Harry Ritchie/Harry Pearson/Olly Wicken/Graham Brack/Matt Nation/Ed Horton/Don  Watson,3.68
Fever Pitch,Nick Hornby,3.74
High Fidelity,Nick Hornby,3.94
About a Boy,Nick Hornby,3.80
The Complete Polysyllabic Spree,Nick Hornby,3.59
Medicus (Gaius Petreius Ruso  #1),Ruth Downie,3.73
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5.00
David Foster Wallace's Infinite Jest: A Reader's Guide,Stephen J. Burn,3.82
Scar Tissue,Anthony Kiedis,4.11
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3.82
Zaat,Sonallah Ibrahim/صنع الله إبراهيم/Anthony Calderbank,3.55
Dreamland,Sarah Dessen,3.91
End Game (Dreamland  #8),Dale Brown/Jim DeFelice,4.02
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,3.97
Dreamland (Dreamland  #1),Dale Brown/Jim DeFelice,3.90
Satan's Tail (Dreamland  #7),Dale Brown/Jim DeFelice,4.00
The Zanzibar Chest,Aidan Hartley,4.01
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,Anderson Cooper,3.96
Dispatches,Michael Herr,4.23
Dispatch,Bentley Little,3.62
Dispatches from the Tenth Circle: The Best of the Onion,Robert D. Siegel/Todd Hanson/Carol Kolb/The Onion,4.21
Hello! Is That Grandma?,Ian Whybrow/Deborah Allwright,3.53
How Much is That Guinea Pig in the Window?,Joanne Rocklin/Meredith Johnson,4.00
My War Gone By  I Miss It So,Anthony Loyd,4.29
Night Draws Near: Iraq's People in the Shadow of America's War,Anthony Shadid,4.12
Maximum City: Bombay Lost and Found,Suketu Mehta,3.93
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,3.96
When Broken Glass Floats: Growing Up Under the Khmer Rouge,Chanrithy Him,4.14
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.35
Fahrenheit 451,Ray Bradbury/Christopher Hurt,3.99
Los funerales de la Mamá Grande,Gabriel García Márquez,3.78
Collected Novellas,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.00
The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,3.96
CliffsNotes on Steinbeck's The Grapes of Wrath,Kelly McGrath Vlcek/CliffsNotes/John Steinbeck,3.81
The Grapes of Wrath,John Steinbeck,3.96
American Gods,Neil Gaiman,4.11
American Gospel: God  the Founding Fathers  and the Making of a Nation,Jon Meacham,3.80
American Gods (American Gods  #1),Neil Gaiman,4.11
East of Eden,John Steinbeck,4.37
Eden in the East: The Drowned Continent of Southeast Asia,Stephen Oppenheimer,3.98
East Of Eden,John Steinbeck,4.37
Who Was John F. Kennedy?,Yona Zeldis McDonough/Nancy Harrison/Jill Weber,4.18
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,Harrison Edward Livingstone,3.22
An Unfinished Life: John F. Kennedy  1917-1963,Robert Dallek,4.07
Sellevision,Augusten Burroughs,3.56
Dry,Augusten Burroughs,4.03
Running with Scissors,Augusten Burroughs,3.72
People of the Lie: The Hope for Healing Human Evil,M. Scott Peck,3.98
The Road Less Traveled: A New Psychology of Love  Traditional Values  and Spiritual Growth,M. Scott Peck,4.05
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.36
A Prayer for Owen Meany,John Irving,4.23
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande/Susanne Kuhlmann-Krieg,4.26
Sad Underwear and Other Complications: More Poems for Children and Their Parents,Judith Viorst/Richard  Hull,3.91
Bridget Jones: The Edge Of Reason (Bridget Jones #2),Helen Fielding,3.57
Bridget Jones's Guide to Life,Helen Fielding,3.49
Las luces de septiembre (Niebla  #3),Carlos Ruiz Zafón,3.77
A Framework for Understanding Poverty,Ruby K. Payne,3.90
El príncipe de la niebla (Trilogía de la Niebla  #1),Carlos Ruiz Zafón,3.70
The Shadow of the Wind,Carlos Ruiz Zafón/Lucia Graves,4.26
Ruby for Rails: Ruby Techniques for Rails Developers,David A. Black/David Heinemeier Hansson,3.77
About the B'nai Bagels,E.L. Konigsburg,3.57
The Far Side of Evil,Sylvia Engdahl,3.98
Enchantress from the Stars,Sylvia Engdahl/Lois Lowry,3.95
Everything Is Illuminated,Jonathan Safran Foer,3.90
Everything Is Illuminated,Jonathan Safran Foer,3.90
Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.04
Bioinformatics: Sequence and Genome Analysis,David W. Mount,3.86
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,James Shreeve,3.83
Carter Beats the Devil,Glen David Gold,4.09
Moo  Baa  La La La!,Sandra Boynton,4.20
Click  Clack  Moo: Cows That Type,Doreen Cronin/Betsy Lewin,4.24
Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,4.10
Moo,Jane Smiley,3.46
Sailor Moo: Cow at Sea,Lisa Wheeler/Ponder Goembel,4.07
CliffsNotes on Heller's Catch-22,Charles A. Peek/CliffsNotes/Joseph Heller,3.55
Catch-22,Joseph Heller,3.98
Geisha,Liza Dalby,4.00
